variable,definition_ja,source_excel_column,source_header,units,storage_types,stata_label,coding,missingness_notes,datasets,privacy,definition_source
recu_6m,肝転移の同時性・異時性。元見出しでは6か月以内の再発を同時性とする。,AG,"6ヶ月以内の再発は 同時性0, 異時性1",,byte,Diagnosis of CRLM,0=Synchronous; 1=Metachronous,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
tumor_count,摘出個数も踏まえて調整された肝腫瘍個数。,AK,腫瘍個数（摘出個数も踏まえ調整）,個 / count,byte,腫瘍個数（摘出個数も踏まえ調整）,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
tumor_count_cat,肝腫瘍個数のカテゴリ。元Excelの見出し空欄AL列を使用。,AL,,個 / count,byte,Number of hepatic lesions,0=1; 1=2-4; 2=5以上; 3=missing,ラベル定義に残る3=missingは、df01mi作成時に . へ変更済み。df02mi/df03miのm>0では補完対象。ラベルの存在は値の存在を意味しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
max_tumor,最大肝腫瘍径。文字列「不明」を空欄に変換後、数値化。,AP,最大腫瘍径　 (cm),cm,double,最大腫瘍径　 (cm),,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
max_tumor_seq,元Excelで「最大腫瘍径（数列）」と命名された数値列。max_tumorとの具体的な相違は未定義。,AQ,最大腫瘍径　 (数列 ),元データで単位・意味の詳細未定義,double,最大腫瘍径　 (数列 ),,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
tumor_size_cat,最大肝腫瘍径のカテゴリ。元カテゴリを符号化し、連続値からの再計算はしていない。,AT,腫瘍径 分類,cm,byte,Largest diameter of hepatic lesions,0=≤ 5cm; 1=> 5cm; 2=missing,ラベル定義に残る2=missingは、df01mi作成時に . へ変更済み。df02mi/df03miのm>0では補完対象。ラベルの存在は値の存在を意味しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
cea,肝転移診断時CEA。,AX,肝転移診断時CEA,元データで単位未定義,double,肝転移診断時CEA,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
cea_cat,肝転移診断時CEAのカテゴリ。閾値10。,AY,肝転移診断時CEA分類,元データで単位未定義,byte,CEA level at diagnosis,0=10未満; 1=10以上; 2=missing,ラベル定義に残る2=missingは、df01mi作成時に . へ変更済み。df02mi/df03miのm>0では補完対象。ラベルの存在は値の存在を意味しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ca199,肝転移診断時CA19-9。,AZ,肝転移診断時のCA19-9 (U/mL),U/mL,double,肝転移診断時のCA19-9 (U/mL),,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ca199_cat,肝転移診断時CA19-9のカテゴリ。閾値37 U/mL。,BA,肝転移診断時CA19-9 分類,U/mL,byte,CA19-9 level at diagnosis,0=≤37; 1=>37; 2=missing,ラベル定義に残る2=missingは、df01mi作成時に . へ変更済み。df02mi/df03miのm>0では補完対象。ラベルの存在は値の存在を意味しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
event_os,全生存のイベント指標。0=生存／打切り、1=死亡。,DP,生存：0 死亡：１,,byte,生存：0 死亡：１,0=生存／打切り; 1=死亡,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。 元コードはevnet_osを定義しevent_osを参照する表記不一致あり。定義は元見出し・コメントに基づく。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Excel header; crDataICL01*.do (no usable attached value-label definition)
time_os_d,記録済み生存期間（日）。crDataICL02_miでNelson–Aalen計算に使用。起算日の詳細は入力データ定義で確認が必要。,DQ,生存日数,日 / days,int,生存日数,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
time_os_m,記録済み生存期間（月）。Stata生存解析とRのRMSTで使用。日数から月数への変換は公開コード内では行わない。,DR,生存月数,月 / months,double,生存月数,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
grade_mind,多重代入前のgrade欠測指標。元カテゴリの欠測コードを . に戻した後、grade==. で生成。1=システム欠損 .、0=それ以外。拡張欠損 .a〜.z はこの条件に含まない。補完後も保持。,,,,byte,missin indicator of grade,0=not system-missing dot; 1=system-missing dot before MI,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
primary_n_mind,多重代入前のprimary_n欠測指標。元カテゴリの欠測コードを . に戻した後、primary_n==. で生成。1=システム欠損 .、0=それ以外。拡張欠損 .a〜.z はこの条件に含まない。補完後も保持。,,,,byte,missin indicator of primary_n,0=not system-missing dot; 1=system-missing dot before MI,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
tumor_count_cat_mind,多重代入前のtumor_count_cat欠測指標。元カテゴリの欠測コードを . に戻した後、tumor_count_cat==. で生成。1=システム欠損 .、0=それ以外。拡張欠損 .a〜.z はこの条件に含まない。補完後も保持。,,,,byte,missin indicator of tumor_count_cat,0=not system-missing dot; 1=system-missing dot before MI,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
tumor_size_cat_mind,多重代入前のtumor_size_cat欠測指標。元カテゴリの欠測コードを . に戻した後、tumor_size_cat==. で生成。1=システム欠損 .、0=それ以外。拡張欠損 .a〜.z はこの条件に含まない。補完後も保持。,,,,byte,missin indicator of tumor_size_cat,0=not system-missing dot; 1=system-missing dot before MI,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
cea_cat_mind,多重代入前のcea_cat欠測指標。元カテゴリの欠測コードを . に戻した後、cea_cat==. で生成。1=システム欠損 .、0=それ以外。拡張欠損 .a〜.z はこの条件に含まない。補完後も保持。,,,,byte,missin indicator of cea_cat,0=not system-missing dot; 1=system-missing dot before MI,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ca199_cat_mind,多重代入前のca199_cat欠測指標。元カテゴリの欠測コードを . に戻した後、ca199_cat==. で生成。1=システム欠損 .、0=それ以外。拡張欠損 .a〜.z はこの条件に含まない。補完後も保持。,,,,byte,missin indicator of ca199_cat,0=not system-missing dot; 1=system-missing dot before MI,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
opeday,原発巣手術日の文字列。手術あり集団の選択に使用。実日付は非公開。,G,原発巣手術日,,str16,原発巣手術日,,空文字、非切除、- を手術なしと判定し、surgery集団では除外。,df01mi_surgery.dta; df01mi_lung.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi_surgery.dta; df03mi_lung.dta,exact date: values withheld,Stata data metadata; source code
ehd2,肝外転移部位の4区分。肺群は ehd2==0 のみ。,U,EHD分類2,,byte,Site of extrahepatic metastasis,0=M1 (Lung); 1=M1 (Peri); 2=M1 (LN/others); 3=multiple,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi_surgery.dta; df01mi_lung.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
na_os,time_os_dとevent_osから作成したNelson–Aalen累積ハザード。多重代入モデルに使用。,,,,double,Nelson–Aalen cumulative hazard,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
_mi_id,Stataが作成した補完間の観測対応ID。元idとは別。値は非公開。,,,,byte; int,Observation ID,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,identifier: values withheld,Stata data metadata; source code
_mi_miss,Stata MIの内部管理用欠測指標。通常は解析共変量として使用しない。,,,,byte,,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
_mi_m,Stata flongの補完番号。0=未補完、1〜22=各補完セット。行を独立した患者数として数えない。,,,,byte,,0=original; 1..22=imputation index,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ps,各補完セットで通常のlogistic回帰により推定したP(trt=1)。共変量と6欠測指標を使用。,,,,float,Propensity Score,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
mp,共変量なしのlogistic trtから得た周辺治療確率。保存されたStata重みの安定化分子。,,,,float,Marginal Prob.,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
stbw,安定化IPTW。trt=1ではmp/ps、trt=0では(1-mp)/(1-ps)。,,,,float,sIPTW,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ovwt,Overlap weight。trt=1では1-ps、trt=0ではps。現行masterの生存解析はstbwを指定。,,,,float,"overlap weight (Li,2018)",,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
sum_ow,各補完セット・治療群内でのovwtの合計。,,,,double,,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
w_now,群内の合計を1にしたoverlap weight。ovwt/sum_ow。,,,,double,Normalized overlap weight (groupwise sum=1),,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
n_g,各補完セット・治療群の行数。,,,,byte; int,,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
w_sow_g,群内の合計をn_gにしたoverlap weight。ovwt*n_g/sum_ow。,,,,double,Standardized OW (group sum = n_group),,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
